Country,latest year available,Total GHG emissions ,GHG from Energy,"GHG from Energy 
of which: from Transport",GHG from Industrial Processes,GHG from Agriculture,GHG from Waste
,,mio. tonnes of CO2 equivalent,%,%,%,%,%
Hungary,2012,61.98066,73.36898316,17.50370196,6.895521926,14.04549419,5.12458241
Iceland,2012,4.46773,38.44390776,19.09202212,42.15160719,15.1754918,4.090891795
India,2000,1523.76656,67.3998575,6.438291309,5.814284965,23.33701627,3.448841271
Indonesia,2000,554.33348,50.68000223,10.25028292,7.697344927,13.24112338,28.38152947
Iran (Islamic Republic of),2000,483.66917,78.11211535,15.71428462,6.463688806,8.888949858,6.535245982
Ireland,2012,58.53124,63.32114269,18.62325145,4.136628576,30.69709441,1.72089298
Israel,2010,75.41555,84.98370694,21.70285836,3.911978365,3.170380644,7.933934049
Italy,2012,461.19124,82.36556922,22.9962759,6.114890647,7.675173969,3.515715086
Jamaica,1994,116.3142,7.076513444,1.090743864,0.325841557,92.26919843,0.328455167
Japan,2012,1343.13679,91.54666741,16.36134768,5.175626974,1.779771069,1.491183188
Jordan,2006,27.752,75.36754108,17.03300663,9.192130297,4.46814644,10.97218219
Kazakhstan,2012,283.54997,85.07550186,8.199433066,5.902247142,7.591882306,1.430368693
Kenya,1994,21.46623,37.53877602,...,4.609612401,56.36602235,1.485542641
Kiribati,1994,0.02797,66.35681087,...,...,1.751877011,31.92706471
Kuwait,1994,32.37339,95.31034594,16.6599173,2.063423077,0.203871142,2.422359846
Kyrgyzstan,2005,12.01715,74.07488464,20.7000828,4.321074464,16.11496902,5.488988654
Lao People's Democratic Republic,2000,8.89818,11.68272613,5.019116269,0.544043838,86.26382024,1.509409789
Latvia,2012,10.97965,65.77705118,25.44698602,6.272331085,22.04350776,5.46529261
Lebanon,2000,18.44684,75.10397445,21.48140278,9.708871547,5.776057037,9.411096968
Lesotho,2000,3.51289,30.72769144,...,...,63.58952316,5.682785399
Liberia,2000,8.02178,67.49125506,27.08875088,...,31.93804866,0.570696279
Liechtenstein,2012,0.2253,84.66045273,36.61340435,3.719485131,10.32401243,0.892143808
Lithuania,2012,21.62276,54.96643352,20.98649756,16.77584175,23.40117543,4.469272193
Luxembourg,2012,11.83819,88.66524359,55.05503797,5.159065702,5.64849863,0.424389201
Madagascar,2000,29.3439,9.207705861,3.198961283,0.084174224,90.4791115,0.229008414
Malawi,1994,7.07034,52.58403415,...,0.825702866,45.31606684,1.274196149
Malaysia,2000,193.39662,76.0102736,...,7.308137029,3.053067835,13.62852153
Maldives,1994,0.15298,84.32474833,...,...,...,15.67525167
Mali,2000,12.2987,19.43595665,5.511720751,0.922048672,76.82421719,2.817777489
Malta,2012,3.14015,89.86545229,17.55298314,5.472031591,2.529815455,2.072194003
Mauritania,2000,6.94385,16.85909114,5.834947472,0.276503669,81.61855455,1.245706632
Mauritius,2006,4.75753,66.28607702,18.0059821,1.365414406,4.330818723,28.01768985
Mexico,2006,641.4475,67.05103691,22.55693568,9.903491712,7.101469723,15.94400165
Micronesia (Federated States of),1994,0.24601,97.95943254,0.260152026,0.008129751,0.341449535,1.690988171
Monaco,2012,0.09347,91.50529582,31.15438108,7.01829464,...,1.380121964
Mongolia,2006,17.71095,57.70215601,10.65403042,5.037279197,36.48392661,0.776638181
Montenegro,2003,5.31367,49.99557744,...,35.42993825,12.32970809,2.244776209
Morocco,2000,59.69969,53.78542167,9.988309822,6.318810031,35.05470464,4.841063664
Mozambique,1994,8.22389,22.64354217,10.3938647,0.624400375,56.20418075,20.52787671
Myanmar,2005,38.3749,21.39943036,6.465137368,1.320420379,69.12604333,8.137610782
Namibia,2000,9.0858,23.86911444,11.32756609,...,74.15417465,1.976710912
Nauru,1994,0.0359,78.88579387,...,...,13.67688022,7.437325905
Nepal,1994,31.18887,10.47168429,1.462060023,0.529034877,87.20097907,1.798301766
Netherlands,2012,191.6687,84.49445319,17.73102755,5.176233783,8.297385019,1.92433089
New Zealand,2012,76.04798,42.23817648,18.08739693,6.938777335,46.0500463,4.728159775
Nicaragua,2000,11.98064,32.73481216,10.30420745,2.552868628,59.27062327,5.441695936
Niger,2000,13.627,19.2412123,5.555147868,0.132090702,78.04358993,2.583107067
Nigeria,2000,212.444,71.62546365,...,0.988966504,26.27045245,1.115117396
Niue,1994,4.42215,99.94324028,32.15630406,...,0.024874778,0.032111077
Norway,2012,52.75724,74.31812202,28.74174237,14.54520744,8.536212281,2.263803034
Oman,1994,20.87867,59.6060477,7.934509238,2.838016023,35.77191459,1.784021683
Pakistan,1994,160.5892,51.84456364,11.63029643,7.017657476,38.57057013,2.567208754
Palau,2000,0.09247,...,...,0.010814318,99.98918568,...
Panama,2000,9.70774,49.59310818,28.08171624,6.105437517,33.17136635,11.13008795
Papua New Guinea,1994,5.01224,18.90512027,...,3.850573795,77.24430594,...
Paraguay,2000,23.42988,15.72274378,11.90484117,1.686735058,79.50629709,3.084224076
Peru,2010,80.59102,50.38433562,18.86773489,7.7850361,32.32541293,9.505215345
Philippines,2000,126.87871,54.9085343,20.44139635,6.78583507,29.16382898,9.141801647
Poland,2012,399.26797,80.06090747,11.72759488,6.75193655,9.180265575,3.816622205
Portugal,2012,68.85377,69.56327882,24.69658524,7.719156119,10.49152428,11.88804912
Qatar,2007,61.59297,91.26897112,8.673246314,7.921699506,0.137775464,0.671553913
Republic of Korea,2012,688.43121,87.19160917,12.5451503,7.461515291,3.194895827,2.151979716
Republic of Moldova,2010,13.27611,67.38811293,14.34674765,4.255614032,16.06208445,11.88842214
Romania,2012,118.78904,69.2172527,12.67976406,10.42046472,15.33038738,4.924343189
Russian Federation,2012,2297.1518,82.15641126,10.50728515,7.885629935,6.278298631,3.654697526
Rwanda,2005,6.18008,12.96099727,4.433599565,2.443334067,83.57626438,1.01940428
Saint Kitts and Nevis,1994,0.16441,44.96685116,15.97834682,...,25.78310322,29.25004562
Saint Lucia,2000,0.55086,63.54609157,...,...,7.33035617,29.01100098
Saint Vincent and the Grenadines,1997,0.4104,26.14766082,9.23245614,...,64.39814815,9.454191033
Samoa,1994,0.56083,18.33532443,12.70081843,...,76.79332418,4.87135139
San Marino,2007,0.23745,98.28595494,58.82080438,...,1.718256475,...
Sao Tome and Principe,2005,0.09916,71.39975797,28.54981848,6.726502622,14.71359419,7.150060508
Saudi Arabia,2000,296.05987,82.83887985,19.6219974,6.555356523,4.165073098,6.440690527
Senegal,2000,16.88211,48.47024454,11.37778394,2.151034438,37.08381239,12.29490863
Serbia,1998,66.34241,76.18906217,5.84347177,5.455228413,14.3192115,4.03649792
Seychelles,2000,0.33008,79.31410567,20.13148328,...,4.717038294,15.96885603
Sierra Leone,...,...,...,...,...,...,...
Singapore,2010,46.8695,97.18595249,14.85138523,2.377025571,...,...
Slovakia,2012,43.11834,68.4952853,15.24532252,18.53856155,7.563811594,5.001282517
Slovenia,2012,18.91098,81.84160736,30.52829626,5.359743387,9.89509798,2.582309325
Solomon Islands,1994,0.29438,100,65.49018276,...,...,...
Somalia,...,...,...,...,...,...,...
South Africa,1994,379.83716,78.34050518,11.4579811,7.99980181,9.334400036,4.325292976
Spain,2012,340.80859,77.91736411,23.67039516,6.868673703,11.06626743,3.777161251
Sri Lanka,2000,18.79724,61.51163681,27.04530027,2.619533506,25.05224171,10.81658797
Sudan,2000,67.8396,12.3871603,4.202560157,0.137088072,84.66618317,2.809568453
Suriname,2003,3.33,72.19219219,10.54054054,1.951951952,25.22522523,0.630630631
Swaziland,1994,7.53868,14.00709408,5.868401365,65.03393167,16.36214828,4.59682597
Sweden,2012,57.61045,73.15962642,33.16873935,10.23906253,13.26396513,2.811989839
Switzerland,2012,51.49266,80.59544797,31.71611255,7.046091618,10.75603785,1.186809926
Syrian Arab Republic,...,...,...,...,...,...,...
Tajikistan,2010,8.184,15.55474096,4.960899316,8.015640274,69.75806452,6.671554252
Thailand,2000,236.94687,67.26461506,18.86553724,6.912773315,21.89088212,3.931729505
The former Yugoslav Republic of Macedonia,2009,11.4913,76.26238981,11.26104096,3.892248919,11.51645158,8.328909697
Timor-Leste,2010,1.27659,19.63825504,8.640205548,...,75.69070727,4.671037686
Togo,2000,4.91719,34.87093238,13.05684751,6.356679323,55.33424578,3.438142516
Tonga,2000,0.24509,40.13219634,23.02011506,...,38.11661022,21.75119344
Trinidad and Tobago,1990,16.00618,62.02904128,9.302844276,31.96827725,2.116182624,3.88649884
Tunisia,2000,34.23787,60.6449233,15.06802263,11.5497547,22.30755009,5.497771912
Turkey,2012,439.87372,70.15746701,13.99557127,14.27080027,7.338647101,8.233087896
Turkmenistan,2004,75.40852,69.63065977,3.144379441,20.66726678,9.024789241,0.67727095
Tuvalu,1994,0.00556,83.63309353,...,...,16.36690647,...
Uganda,2000,27.55978,17.7722754,2.931808599,0.576927682,79.13626306,2.514533861
Ukraine,2012,402.66595,76.75868546,8.313059498,11.42615113,8.948655827,2.82269211
United Arab Emirates,2005,195.308,89.4791816,14.96252074,4.831343314,2.044463104,3.645011981
United Kingdom of Great Britain and Northern Ireland,2012,586.35713,82.80649713,19.73613248,4.259061368,8.889773371,4.044669841
United Republic of Tanzania,1994,39.2367,17.5565988,4.264323962,0.944167068,75.77122949,5.728004649
United States of America,2012,6487.84705,84.75666069,26.76756629,5.153540572,8.11134273,1.910835275
Uruguay,2004,36.27836,14.2917155,6.18622231,0.938989524,80.82666912,3.942625852
Uzbekistan,2005,199.83708,86.23955074,4.819571023,3.185800153,8.22754716,2.347106953
Vanuatu,1994,0.29939,21.45362237,15.12742577,...,78.54637763,...
Venezuela (Bolivarian Republic of),1999,192.19224,74.69666829,17.68593779,4.790099746,17.14933964,3.363892319
Viet Nam,2010,266.04923,53.06190136,11.95939939,7.95792944,33.20993637,5.770232825
Yemen,2000,25.74209,69.06976085,19.25251602,2.851361331,23.34033484,4.738542985
Zambia,2000,14.4047,18.2455032,4.058605872,6.980568842,71.91659667,2.857331288
Zimbabwe,2000,68.54068,38.66317054,1.562575685,1.517609688,57.73272165,2.086498121
