Country,CO2 emissions ,,% change since 1990,,CO2 emissions per capita,,CO2 emissions per km2
,mio. tonnes ,,%,,tonnes,,tonnes
Haiti,2.21,,122.4995,,0.217962,,79.68288
Honduras,8.41,,224.4658,,1.103745,,74.77954
Hungary,49.86,,-31.2058,,4.991437,,535.9595
Iceland,3.33,,54.28452,,10.38127,,32.35631
India,  2 074.34,,200.3786,,1.662873,,631.0249
Indonesia,563.98,,277.081,,2.303781,,295.136
Iran (Islamic Republic of),586.6,,177.8314,,7.802145,,360.1529
Iraq,133.65,,154.3122,,4.194045,,307.0802
Ireland,37.72,,16.32217,,8.106301,,540.1517
Israel,69.52,,90.27506,,9.192071,,3149.814
Italy,413.38,,-4.89511,,6.926715,,1371.822
Jamaica,7.76,,-2.62408,,2.817838,,705.6731
Japan,  1 240.63,,8.71886,,9.749341,,3282.703
Jordan,22.26,,113.9581,,3.292526,,249.1794
Kazakhstan,261.76,,...,,15.81229,,96.06279
Kenya,13.57,,132.9973,,0.327569,,23.34009
Kiribati,0.06,,183.1818,,0.595249,,85.7725
Kuwait,91.03,,88.41754,,28.10266,,5108.856
Kyrgyzstan,6.62,,...,,1.191125,,33.08461
Lao People's Democratic Republic,1.2,,412.484,,0.188914,,5.079392
Latvia,7.75,,-59.3166,,3.756043,,120.0582
Lebanon,20.49,,125.1003,,4.461857,,1960.151
Lesotho,2.2,,...,,1.08227,,72.48229
Liberia,0.89,,84.11157,,0.21843,,8.001329
Libya,39.02,,6.091626,,6.204907,,22.17653
Liechtenstein,0.18,,-10.3586,,4.926513,,1125
Lithuania,14.03,,-60.7956,,4.568987,,214.8469
Luxembourg,11.14,,-6.79481,,21.42059,,4307.154
Madagascar,2.45,,148.3374,,0.112995,,4.170987
Malawi,1.21,,96.99543,,0.079229,,10.18197
Malaysia,225.69,,298.8013,,7.898822,,682.2574
Maldives,1.1,,616.7532,,3.25972,,3679.333
Mali,1.25,,196.5141,,0.079953,,1.008231
Malta,2.67,,42.91301,,6.443036,,8442.722
Marshall Islands,0.1,,115.304,,1.954664,,567.4033
Martinique,2.45,,18.44116,,6.206264,,2171.631
Mauritania,2.31,,-13.3426,,0.627223,,2.241389
Mauritius,3.92,,167.6782,,3.125397,,1989.03
Mexico,466.55,,48.44472,,3.876107,,237.5049
Micronesia (Federated States of),0.13,,...,,1.239901,,182.7635
Monaco,0.08,,-24.9289,,2.129662,,39600
Mongolia,19.08,,89.96008,,6.915146,,12.1982
Montenegro,2.57,,...,,4.126449,,186.1135
Montserrat,0.08,,100.2481,,16.16263,,791.1765
Morocco,56.54,,140.1561,,1.737915,,126.6102
Mozambique,3.28,,227.8394,,0.131191,,4.094362
Myanmar,10.44,,144.1682,,0.200284,,15.43045
Namibia,2.78,,10701.17,,1.239152,,3.367715
Nauru,0.05,,-67.4699,,5.108035,,2442.857
Nepal,4.33,,583.2282,,0.159475,,29.44945
Netherlands,168.06,,5.540459,,10.06948,,4499.071
New Caledonia,3.85,,137.2422,,15.43112,,207.4832
New Zealand,33.26,,33.48304,,7.551057,,122.9669
Nicaragua,4.9,,92.22711,,0.84354,,37.57757
Niger,1.42,,70.92744,,0.083958,,1.122968
Nigeria,88.03,,93.99522,,0.537497,,95.29048
Niue,0.01,,197.2973,,6.806931,,42.30769
Norway,44.6,,27.80169,,9.002199,,137.7338
Oman,64.85,,469.5995,,20.20391,,209.5464
Pakistan,163.45,,138.3891,,0.941171,,205.3183
Palau,0.22,,...,,10.85606,,487.3638
Panama,9.67,,249.1367,,2.625273,,128.17
Papua New Guinea,5.23,,144.1793,,0.746889,,11.29786
Paraguay,5.3,,134.2011,,0.841913,,13.0271
Peru,53.07,,150.684,,1.783232,,41.29174
Philippines,82.01,,96.37363,,0.867846,,273.375
Poland,327.72,,-12.5634,,8.4915,,1050.771
Portugal,51.24,,13.60973,,4.853068,,555.7097
Qatar,83.88,,612.3349,,44.01893,,7226.269
Republic of Korea,589.43,,138.6891,,11.94217,,5892.318
Republic of Moldova,4.98,,...,,1.221194,,147.1311
Réunion,4.51,,210.6122,,5.388641,,1794.827
Romania,85.6,,-51.9439,,4.25646,,359.0928
Russian Federation,  1 650.27,,-34.2471,,11.52329,,96.51678
Rwanda,0.66,,22.29593,,0.062872,,25.19742
Saint Helena,0.01,,50.68493,,2.657647,,90.1639
Saint Kitts and Nevis,0.27,,305.6061,,5.051134,,1025.67
Saint Lucia,0.41,,146.6667,,2.270217,,755.102
