,Country,year,Average Temp in C
919,Mauritania,1973,27.8
920,Mauritania,1984,27.8
921,Mauritania,1993,27.8
922,Niger,1926,27.8
923,Niger,1928,27.8
924,Niger,1940,27.8
925,Niger,1947,27.8
926,Niger,1958,27.8
927,Niger,1972,27.8
928,Niger,1980,27.8
929,Niger,1988,27.8
930,Niger,1993,27.8
931,Nigeria,2006,27.8
932,Northern Mariana Islands,1984,27.8
933,Oman,1994,27.8
934,Oman,2008,27.8
935,Palau,1986,27.8
936,Palau,1997,27.8
937,Palau,2001,27.8
938,Palau,2002,27.8
939,Palau,2006,27.8
940,Palau,2007,27.8
941,Palau,2010,27.8
942,Palmyra Atoll,1941,27.8
943,Palmyra Atoll,1951,27.8
944,Palmyra Atoll,1977,27.8
945,Palmyra Atoll,1987,27.8
946,Palmyra Atoll,1991,27.8
947,Palmyra Atoll,1996,27.8
948,Palmyra Atoll,1998,27.8
949,Palmyra Atoll,2001,27.8
950,Palmyra Atoll,2007,27.8
951,Philippines,1998,27.8
952,Saint Barthélemy,2010,27.8
953,Saint Lucia,1998,27.8
954,Saint Lucia,2005,27.8
955,Saint Martin,2010,27.8
956,Saint Vincent And The Grenadines,2006,27.8
957,Senegal,1898,27.8
958,Senegal,1900,27.8
959,Senegal,1906,27.8
960,Senegal,1912,27.8
961,Senegal,1922,27.8
962,Senegal,1929,27.8
963,Senegal,1932,27.8
964,Senegal,1933,27.8
965,Senegal,1935,27.8
966,Senegal,1943,27.8
967,Senegal,1950,27.8
968,Senegal,1951,27.8
969,Senegal,1953,27.8
970,Senegal,1954,27.8
971,Senegal,1957,27.8
972,Senegal,1968,27.8
973,Senegal,1971,27.8
974,Seychelles,2010,27.8
975,Seychelles,2012,27.8
976,Singapore,1998,27.8
977,Sint Maarten,2010,27.8
978,Somalia,2003,27.8
979,Somalia,2005,27.8
980,Somalia,2010,27.8
981,Sri Lanka,1983,27.8
982,Sri Lanka,1987,27.8
983,Sri Lanka,2002,27.8
984,Sri Lanka,2003,27.8
985,Sri Lanka,2013,27.8
986,Sudan,1996,27.8
987,Sudan,1998,27.8
988,Sudan,2008,27.8
989,Sudan,2011,27.8
990,Togo,1998,27.8
991,Togo,2005,27.8
992,Togo,2006,27.8
993,Togo,2011,27.8
994,Turks And Caicas Islands,1998,27.8
995,Turks And Caicas Islands,2003,27.8
996,United Arab Emirates,1889,27.8
997,United Arab Emirates,1902,27.8
998,United Arab Emirates,1922,27.8
999,United Arab Emirates,1926,27.8
1000,United Arab Emirates,1929,27.8
1001,United Arab Emirates,1946,27.8
1002,United Arab Emirates,1948,27.8
1003,United Arab Emirates,1952,27.8
1004,United Arab Emirates,1960,27.8
1005,United Arab Emirates,1961,27.8
1006,United Arab Emirates,1963,27.8
1007,United Arab Emirates,1965,27.8
1008,Anguilla,1998,27.7
1009,Anguilla,2003,27.7
1010,Anguilla,2005,27.7
1011,Anguilla,2007,27.7
1012,Antigua And Barbuda,2010,27.7
1013,Aruba,1896,27.7
1014,Aruba,1899,27.7
1015,Aruba,1906,27.7
1016,Aruba,1912,27.7
1017,Aruba,1925,27.7
1018,Aruba,1933,27.7
1019,Aruba,1935,27.7
1020,Aruba,1939,27.7
1021,Aruba,1946,27.7
1022,Aruba,1955,27.7
1023,Aruba,1974,27.7
1024,Bahrain,1999,27.7
1025,Barbados,2005,27.7
1026,Benin,1926,27.7
1027,Benin,1931,27.7
1028,Benin,1942,27.7
1029,Benin,1983,27.7
1030,Benin,1996,27.7
1031,Benin,1999,27.7
1032,Benin,2001,27.7
1033,Benin,2008,27.7
1034,Benin,2012,27.7
1035,"Bonaire, Saint Eustatius And Saba",1940,27.7
1036,"Bonaire, Saint Eustatius And Saba",1952,27.7
1037,"Bonaire, Saint Eustatius And Saba",1960,27.7
1038,"Bonaire, Saint Eustatius And Saba",1977,27.7
1039,"Bonaire, Saint Eustatius And Saba",1979,27.7
1040,"Bonaire, Saint Eustatius And Saba",1992,27.7
1041,"Bonaire, Saint Eustatius And Saba",1994,27.7
1042,"Bonaire, Saint Eustatius And Saba",1996,27.7
1043,"Bonaire, Saint Eustatius And Saba",2004,27.7
1044,Cayman Islands,1998,27.7
1045,Cayman Islands,2002,27.7
1046,Chad,1973,27.7
1047,Chad,1987,27.7
1048,Chad,2008,27.7
1049,Chad,2012,27.7
1050,Curaçao,1915,27.7
1051,Curaçao,1926,27.7
1052,Curaçao,1947,27.7
1053,Curaçao,1962,27.7
1054,Curaçao,1966,27.7
1055,Curaçao,1972,27.7
1056,Curaçao,1973,27.7
1057,Curaçao,1982,27.7
1058,Curaçao,1990,27.7
1059,Curaçao,1991,27.7
1060,Curaçao,1999,27.7
1061,Eritrea,2003,27.7
1062,Eritrea,2005,27.7
1063,Federated States Of Micronesia,2004,27.7
1064,Federated States Of Micronesia,2010,27.7
1065,Federated States Of Micronesia,2012,27.7
1066,Gambia,1896,27.7
1067,Gambia,1913,27.7
1068,Gambia,1915,27.7
1069,Gambia,1936,27.7
1070,Gambia,1938,27.7
1071,Gambia,1940,27.7
1072,Gambia,1966,27.7
1073,Gambia,1972,27.7
1074,Gambia,1978,27.7
1075,Ghana,1998,27.7
1076,Grenada,2003,27.7
1077,Grenada,2006,27.7
1078,Grenada,2011,27.7
1079,Guinea Bissau,1983,27.7
1080,Guinea Bissau,2001,27.7
1081,Kingman Reef,1980,27.7
1082,Kingman Reef,1986,27.7
1083,Kingman Reef,1994,27.7
1084,Kingman Reef,2011,27.7
1085,Kingman Reef,2012,27.7
1086,Kiribati,2004,27.7
1087,Kiribati,2009,27.7
1088,Mali,1887,27.7
1089,Mali,1888,27.7
1090,Mali,1894,27.7
1091,Mauritania,1902,27.7
1092,Mauritania,1913,27.7
1093,Mauritania,1915,27.7
1094,Mauritania,1938,27.7
1095,Mauritania,1940,27.7
1096,Mauritania,1942,27.7
1097,Mauritania,1944,27.7
1098,Mauritania,1953,27.7
1099,Mauritania,1960,27.7
1100,Montserrat,2010,27.7
1101,Niger,1915,27.7
1102,Niger,1924,27.7
1103,Niger,1978,27.7
1104,Niger,1985,27.7
1105,Nigeria,2005,27.7
1106,Nigeria,2007,27.7
1107,Oman,1977,27.7
1108,Palau,1973,27.7
1109,Palau,1983,27.7
1110,Palau,1987,27.7
1111,Palau,1988,27.7
1112,Palau,1990,27.7
1113,Palau,1996,27.7
1114,Palau,1999,27.7
1115,Palau,2000,27.7
1116,Palau,2005,27.7
1117,Palau,2009,27.7
1118,Palau,2012,27.7
1119,Palau,2013,27.7
1120,Palmyra Atoll,1980,27.7
1121,Palmyra Atoll,1986,27.7
1122,Palmyra Atoll,1992,27.7
1123,Palmyra Atoll,1994,27.7
1124,Palmyra Atoll,2011,27.7
1125,Palmyra Atoll,2012,27.7
1126,Saint Barthélemy,1998,27.7
1127,Saint Barthélemy,2003,27.7
1128,Saint Barthélemy,2005,27.7
1129,Saint Barthélemy,2007,27.7
1130,Saint Lucia,2006,27.7
1131,Saint Martin,1998,27.7
1132,Saint Martin,2003,27.7
1133,Saint Martin,2005,27.7
1134,Saint Martin,2007,27.7
1135,Saint Vincent And The Grenadines,1987,27.7
1136,Saint Vincent And The Grenadines,2003,27.7
1137,Saint Vincent And The Grenadines,2007,27.7
1138,Saint Vincent And The Grenadines,2011,27.7
1139,Saint Vincent And The Grenadines,2012,27.7
1140,Senegal,1903,27.7
1141,Senegal,1916,27.7
1142,Senegal,1920,27.7
1143,Senegal,1928,27.7
1144,Senegal,1934,27.7
1145,Senegal,1948,27.7
1146,Senegal,1956,27.7
1147,Senegal,1975,27.7
1148,Senegal,1976,27.7
1149,Seychelles,2003,27.7
1150,Seychelles,2007,27.7
1151,Seychelles,2009,27.7
1152,Seychelles,2011,27.7
1153,Sierra Leone,2013,27.7
1154,Sint Maarten,1998,27.7
1155,Sint Maarten,2003,27.7
1156,Sint Maarten,2005,27.7
1157,Sint Maarten,2007,27.7
1158,Somalia,2000,27.7
1159,Somalia,2004,27.7
1160,Somalia,2006,27.7
1161,Sri Lanka,1997,27.7
1162,Sri Lanka,2001,27.7
1163,Sri Lanka,2005,27.7
1164,Sri Lanka,2009,27.7
1165,Sri Lanka,2011,27.7
1166,Sudan,1969,27.7
1167,Sudan,1979,27.7
1168,Sudan,1980,27.7
1169,Sudan,1987,27.7
1170,Sudan,1993,27.7
1171,Sudan,1997,27.7
1172,Sudan,1999,27.7
1173,Sudan,2001,27.7
1174,Sudan,2006,27.7
1175,Togo,2003,27.7
1176,Togo,2009,27.7
1177,Turks And Caicas Islands,2002,27.7
1178,United Arab Emirates,1892,27.7
1179,United Arab Emirates,1899,27.7
1180,United Arab Emirates,1909,27.7
1181,United Arab Emirates,1931,27.7
1182,United Arab Emirates,1940,27.7
1183,United Arab Emirates,1955,27.7
1184,United Arab Emirates,1967,27.7
1185,United Arab Emirates,1973,27.7
1186,United Arab Emirates,1974,27.7
1187,United Arab Emirates,1985,27.7
1188,United Arab Emirates,1991,27.7
1189,American Samoa,2013,27.6
1190,Anguilla,2006,27.6
1191,Anguilla,2012,27.6
1192,Antigua And Barbuda,1998,27.6
1193,Antigua And Barbuda,2005,27.6
1194,Aruba,1888,27.6
1195,Aruba,1908,27.6
1196,Aruba,1911,27.6
1197,Aruba,1916,27.6
1198,Aruba,1920,27.6
1199,Aruba,1922,27.6
1200,Aruba,1923,27.6
1201,Bahrain,1998,27.6
1202,Barbados,1998,27.6
1203,Benin,1917,27.6
1204,Benin,1930,27.6
1205,Benin,1937,27.6
1206,Benin,1938,27.6
1207,Benin,1940,27.6
1208,Benin,1944,27.6
1209,Benin,1947,27.6
1210,Benin,1949,27.6
1211,Benin,1969,27.6
1212,Benin,1979,27.6
1213,Benin,1980,27.6
1214,Benin,1984,27.6
1215,Benin,1988,27.6
1216,Benin,1993,27.6
1217,Benin,1995,27.6
1218,Benin,1997,27.6
1219,Benin,2000,27.6
1220,"Bonaire, Saint Eustatius And Saba",1953,27.6
1221,"Bonaire, Saint Eustatius And Saba",1963,27.6
1222,"Bonaire, Saint Eustatius And Saba",1970,27.6
1223,"Bonaire, Saint Eustatius And Saba",1973,27.6
1224,"Bonaire, Saint Eustatius And Saba",1978,27.6
1225,"Bonaire, Saint Eustatius And Saba",1988,27.6
1226,"Bonaire, Saint Eustatius And Saba",1990,27.6
1227,British Virgin Islands,2010,27.6
1228,Burkina Faso,1895,27.6
1229,Burkina Faso,1908,27.6
1230,Cambodia,1941,27.6
1231,Cambodia,2002,27.6
1232,Cayman Islands,1994,27.6
1233,Cayman Islands,1995,27.6
1234,Cayman Islands,2003,27.6
1235,Cayman Islands,2004,27.6
1236,Cayman Islands,2005,27.6
1237,Cayman Islands,2007,27.6
1238,Chad,1919,27.6
1239,Chad,1928,27.6
1240,Chad,1952,27.6
1241,Chad,1963,27.6
1242,Chad,1984,27.6
1243,Chad,1986,27.6
1244,Chad,1990,27.6
1245,Chad,1991,27.6
1246,Chad,1993,27.6
1247,Chad,2001,27.6
1248,Curaçao,1931,27.6
1249,Curaçao,1948,27.6
1250,Curaçao,1951,27.6
1251,Curaçao,1959,27.6
1252,Curaçao,1964,27.6
1253,Curaçao,1968,27.6
1254,Curaçao,1984,27.6
1255,Curaçao,1989,27.6
1256,Curaçao,2000,27.6
1257,Eritrea,1998,27.6
1258,Eritrea,2002,27.6
1259,Eritrea,2004,27.6
1260,Eritrea,2008,27.6
1261,Eritrea,2011,27.6
1262,Federated States Of Micronesia,2002,27.6
1263,Federated States Of Micronesia,2003,27.6
1264,Federated States Of Micronesia,2005,27.6
1265,Federated States Of Micronesia,2009,27.6
1266,Gambia,1892,27.6
1267,Gambia,1893,27.6
1268,Gambia,1902,27.6
1269,Gambia,1910,27.6
1270,Gambia,1923,27.6
1271,Gambia,1925,27.6
1272,Gambia,1927,27.6
1273,Gambia,1942,27.6
1274,Gambia,1947,27.6
1275,Gambia,1949,27.6
1276,Gambia,1955,27.6
1277,Gambia,1960,27.6
1278,Gambia,1961,27.6
1279,Gambia,1964,27.6
1280,Gambia,1982,27.6
1281,Ghana,2005,27.6
1282,Ghana,2006,27.6
1283,Ghana,2007,27.6
1284,Ghana,2009,27.6
1285,Ghana,2011,27.6
1286,Grenada,1987,27.6
1287,Grenada,1995,27.6
1288,Grenada,2007,27.6
1289,Grenada,2009,27.6
1290,Grenada,2012,27.6
1291,Guadeloupe,2010,27.6
1292,Guam,1983,27.6
1293,Guam,1988,27.6
1294,Guam,1998,27.6
1295,Guam,1999,27.6
1296,Guam,2001,27.6
1297,Guinea Bissau,1987,27.6
1298,Guinea Bissau,2004,27.6
1299,Guinea Bissau,2008,27.6
1300,Kingman Reef,1940,27.6
1301,Kingman Reef,1969,27.6
1302,Kingman Reef,1982,27.6
1303,Kingman Reef,1992,27.6
1304,Kiribati,1987,27.6
1305,Kiribati,2002,27.6
1306,Kuwait,2010,27.6
1307,Mali,1886,27.6
1308,Mali,1891,27.6
1309,Mauritania,1895,27.6
1310,Mauritania,1914,27.6
1311,Mauritania,1919,27.6
1312,Mauritania,1922,27.6
1313,Mauritania,1925,27.6
1314,Mauritania,1932,27.6
1315,Mauritania,1949,27.6
1316,Mauritania,1959,27.6
1317,Mauritania,1968,27.6
1318,Mauritania,1982,27.6
1319,Montserrat,1998,27.6
1320,Montserrat,2005,27.6
1321,Niger,1919,27.6
1322,Niger,1925,27.6
1323,Niger,1939,27.6
1324,Niger,1951,27.6
1325,Niger,1960,27.6
1326,Niger,1976,27.6
1327,Niger,1981,27.6
1328,Niger,1982,27.6
1329,Nigeria,1941,27.6
1330,Nigeria,1987,27.6
1331,Nigeria,1998,27.6
1332,Nigeria,2004,27.6
1333,Nigeria,2011,27.6
1334,Northern Mariana Islands,1983,27.6
1335,Northern Mariana Islands,1988,27.6
1336,Northern Mariana Islands,1998,27.6
1337,Northern Mariana Islands,1999,27.6
1338,Northern Mariana Islands,2001,27.6
1339,Palau,1947,27.6
1340,Palau,1953,27.6
1341,Palau,1970,27.6
1342,Palau,1977,27.6
1343,Palau,1981,27.6
1344,Palau,1982,27.6
1345,Palau,1984,27.6
1346,Palau,1989,27.6
1347,Palau,1991,27.6
1348,Palau,1994,27.6
1349,Palau,1995,27.6
1350,Palau,2003,27.6
1351,Palau,2008,27.6
1352,Palau,2011,27.6
1353,Palmyra Atoll,1940,27.6
1354,Palmyra Atoll,1969,27.6
1355,Palmyra Atoll,1982,27.6
1356,Palmyra Atoll,1990,27.6
1357,Palmyra Atoll,2013,27.6
1358,Qatar,1996,27.6
1359,Saint Barthélemy,2006,27.6
1360,Saint Barthélemy,2012,27.6
1361,Saint Lucia,2003,27.6
1362,Saint Lucia,2007,27.6
1363,Saint Lucia,2012,27.6
1364,Saint Martin,2006,27.6
1365,Saint Martin,2012,27.6
1366,Saint Vincent And The Grenadines,1995,27.6
1367,Saint Vincent And The Grenadines,1997,27.6
1368,Saint Vincent And The Grenadines,2001,27.6
1369,Saint Vincent And The Grenadines,2002,27.6
1370,Saint Vincent And The Grenadines,2009,27.6
1371,Senegal,1891,27.6
1372,Senegal,1905,27.6
1373,Senegal,1911,27.6
1374,Senegal,1918,27.6
1375,Senegal,1930,27.6
1376,Senegal,1952,27.6
1377,Senegal,1965,27.6
1378,Senegal,1967,27.6
1379,Senegal,1974,27.6
1380,Seychelles,1998,27.6
1381,Seychelles,2013,27.6
1382,Singapore,2010,27.6
1383,Sint Maarten,2006,27.6
1384,Sint Maarten,2012,27.6
1385,Solomon Islands,2010,27.6
1386,Solomon Islands,2013,27.6
1387,Somalia,1998,27.6
1388,Sri Lanka,1979,27.6
1389,Sri Lanka,1980,27.6
1390,Sri Lanka,1988,27.6
1391,Sri Lanka,1991,27.6
1392,Sri Lanka,1995,27.6
1393,Sri Lanka,2004,27.6
1394,Sri Lanka,2006,27.6
1395,Sri Lanka,2007,27.6
1396,Sudan,1901,27.6
1397,Sudan,1928,27.6
1398,Sudan,1941,27.6
1399,Sudan,1942,27.6
1400,Sudan,1958,27.6
1401,Sudan,1973,27.6
1402,Sudan,1984,27.6
1403,Sudan,1990,27.6
1404,Sudan,2007,27.6
1405,Togo,1941,27.6
1406,Togo,1973,27.6
1407,Turks And Caicas Islands,2004,27.6
1408,Turks And Caicas Islands,2007,27.6
1409,United Arab Emirates,1886,27.6
1410,United Arab Emirates,1891,27.6
1411,United Arab Emirates,1900,27.6
1412,United Arab Emirates,1901,27.6
1413,United Arab Emirates,1904,27.6
1414,United Arab Emirates,1914,27.6
1415,United Arab Emirates,1930,27.6
1416,United Arab Emirates,1935,27.6
1417,United Arab Emirates,1943,27.6
1418,United Arab Emirates,1945,27.6
1419,United Arab Emirates,1956,27.6
1420,United Arab Emirates,1971,27.6
1421,United Arab Emirates,1975,27.6
1422,United Arab Emirates,1976,27.6
1423,United Arab Emirates,1989,27.6
1424,Virgin Islands,2010,27.6
1425,American Samoa,2002,27.5
1426,Anguilla,1995,27.5
1427,Anguilla,2002,27.5
1428,Anguilla,2009,27.5
1429,Anguilla,2011,27.5
1430,Antigua And Barbuda,2003,27.5
1431,Antigua And Barbuda,2006,27.5
1432,Antigua And Barbuda,2007,27.5
1433,Aruba,1895,27.5
1434,Aruba,1907,27.5
1435,Aruba,1909,27.5
1436,Aruba,1910,27.5
1437,Aruba,1938,27.5
1438,Aruba,1950,27.5
1439,Bahrain,2012,27.5
1440,Barbados,2006,27.5
1441,Benin,1914,27.5
1442,Benin,1924,27.5
1443,Benin,1933,27.5
1444,Benin,1945,27.5
1445,Benin,1970,27.5
1446,Benin,1977,27.5
1447,Benin,1981,27.5
1448,Benin,1985,27.5
1449,"Bonaire, Saint Eustatius And Saba",1926,27.5
1450,"Bonaire, Saint Eustatius And Saba",1931,27.5
1451,"Bonaire, Saint Eustatius And Saba",1959,27.5
1452,"Bonaire, Saint Eustatius And Saba",1962,27.5
1453,"Bonaire, Saint Eustatius And Saba",1966,27.5
1454,"Bonaire, Saint Eustatius And Saba",1972,27.5
1455,"Bonaire, Saint Eustatius And Saba",1982,27.5
1456,"Bonaire, Saint Eustatius And Saba",1991,27.5
1457,"Bonaire, Saint Eustatius And Saba",1999,27.5
1458,British Virgin Islands,2007,27.5
1459,Burkina Faso,1893,27.5
1460,Burkina Faso,1898,27.5
1461,Burkina Faso,1905,27.5
1462,Cayman Islands,2006,27.5
1463,Cayman Islands,2009,27.5
1464,Chad,1915,27.5
1465,Chad,1932,27.5
1466,Chad,1958,27.5
1467,Chad,1960,27.5
1468,Chad,1976,27.5
1469,Chad,1979,27.5
1470,Chad,1980,27.5
1471,Chad,1995,27.5
1472,Christmas Island,2013,27.5
1473,Curaçao,1932,27.5
1474,Curaçao,1937,27.5
1475,Curaçao,1944,27.5
1476,Curaçao,1954,27.5
1477,Curaçao,1961,27.5
1478,Curaçao,1986,27.5
1479,Dominica,2010,27.5
1480,Eritrea,1999,27.5
1481,Eritrea,2000,27.5
1482,Eritrea,2006,27.5
1483,Eritrea,2007,27.5
1484,Federated States Of Micronesia,1983,27.5
1485,Federated States Of Micronesia,1984,27.5
1486,Federated States Of Micronesia,1988,27.5
1487,Federated States Of Micronesia,1998,27.5
1488,Federated States Of Micronesia,2001,27.5
1489,Federated States Of Micronesia,2007,27.5
1490,Federated States Of Micronesia,2011,27.5
1491,Gambia,1900,27.5
1492,Gambia,1901,27.5
1493,Gambia,1919,27.5
1494,Gambia,1921,27.5
1495,Gambia,1932,27.5
1496,Gambia,1933,27.5
1497,Gambia,1939,27.5
1498,Gambia,1946,27.5
1499,Gambia,1959,27.5
1500,Ghana,2003,27.5
1501,Grenada,1999,27.5
1502,Grenada,2001,27.5
1503,Grenada,2002,27.5
1504,Grenada,2004,27.5
1505,Guadeloupe,1998,27.5
1506,Guadeloupe,2005,27.5
1507,Guam,1981,27.5
1508,Guam,1985,27.5
1509,Guam,2000,27.5
1510,Guam,2004,27.5
1511,Guam,2005,27.5
1512,Guam,2008,27.5
1513,Guinea Bissau,1996,27.5
1514,Guinea Bissau,2003,27.5
1515,Guinea Bissau,2007,27.5
1516,Guinea Bissau,2011,27.5
1517,Guinea Bissau,2012,27.5
1518,Haiti,1997,27.5
1519,Kingman Reef,1944,27.5
1520,Kingman Reef,1946,27.5
1521,Kingman Reef,1983,27.5
1522,Kingman Reef,1990,27.5
1523,Kingman Reef,1993,27.5
1524,Kingman Reef,2000,27.5
1525,Kingman Reef,2008,27.5
1526,Kingman Reef,2013,27.5
1527,Kiribati,1995,27.5
1528,Kiribati,1997,27.5
1529,Kiribati,1998,27.5
1530,Kiribati,2010,27.5
1531,Mali,1889,27.5
1532,Mali,1904,27.5
1533,Martinique,2010,27.5
1534,Mauritania,1885,27.5
1535,Mauritania,1892,27.5
1536,Mauritania,1901,27.5
1537,Mauritania,1910,27.5
1538,Mauritania,1912,27.5
1539,Mauritania,1929,27.5
1540,Mauritania,1930,27.5
1541,Mauritania,1939,27.5
1542,Mauritania,1948,27.5
1543,Mauritania,1986,27.5
1544,Montserrat,2003,27.5
1545,Montserrat,2007,27.5
1546,Niger,1913,27.5
1547,Niger,1917,27.5
1548,Niger,1922,27.5
1549,Niger,1927,27.5
1550,Niger,1935,27.5
1551,Niger,1937,27.5
1552,Niger,1938,27.5
1553,Niger,1946,27.5
1554,Niger,1949,27.5
1555,Niger,1962,27.5
1556,Niger,1968,27.5
1557,Niger,1971,27.5
1558,Niger,1983,27.5
1559,Nigeria,1931,27.5
1560,Nigeria,1973,27.5
1561,Nigeria,2002,27.5
1562,Northern Mariana Islands,1981,27.5
1563,Northern Mariana Islands,1985,27.5
1564,Northern Mariana Islands,2000,27.5
1565,Northern Mariana Islands,2004,27.5
1566,Northern Mariana Islands,2005,27.5
1567,Northern Mariana Islands,2008,27.5
1568,Palau,1948,27.5
1569,Palau,1951,27.5
1570,Palau,1952,27.5
1571,Palau,1958,27.5
1572,Palau,1968,27.5
1573,Palau,1969,27.5
1574,Palau,1974,27.5
1575,Palau,1979,27.5
1576,Palau,1980,27.5
1577,Palau,1992,27.5
1578,Palau,1993,27.5
1579,Palmyra Atoll,1944,27.5
1580,Palmyra Atoll,1946,27.5
1581,Palmyra Atoll,1968,27.5
1582,Palmyra Atoll,1978,27.5
1583,Palmyra Atoll,1979,27.5
1584,Palmyra Atoll,1983,27.5
1585,Palmyra Atoll,1993,27.5
1586,Palmyra Atoll,2000,27.5
1587,Palmyra Atoll,2008,27.5
1588,Panama,1998,27.5
1589,Qatar,1969,27.5
1590,Qatar,1977,27.5
1591,Qatar,1979,27.5
1592,Qatar,1994,27.5
1593,Saint Barthélemy,1995,27.5
1594,Saint Barthélemy,2002,27.5
1595,Saint Barthélemy,2009,27.5
1596,Saint Barthélemy,2011,27.5
1597,Saint Lucia,1987,27.5
1598,Saint Lucia,1995,27.5
1599,Saint Lucia,2002,27.5
1600,Saint Lucia,2009,27.5
1601,Saint Lucia,2011,27.5
1602,Saint Martin,1995,27.5
1603,Saint Martin,2002,27.5
1604,Saint Martin,2009,27.5
1605,Saint Martin,2011,27.5
1606,Saint Vincent And The Grenadines,1981,27.5
1607,Saint Vincent And The Grenadines,1999,27.5
1608,Saint Vincent And The Grenadines,2004,27.5
1609,Saudi Arabia,2010,27.5
1610,Senegal,1885,27.5
1611,Senegal,1895,27.5
1612,Senegal,1908,27.5
1613,Seychelles,2001,27.5
1614,Seychelles,2002,27.5
1615,Seychelles,2005,27.5
1616,Seychelles,2006,27.5
1617,Singapore,2005,27.5
1618,Singapore,2009,27.5
1619,Sint Maarten,1995,27.5
1620,Sint Maarten,2002,27.5
1621,Sint Maarten,2009,27.5
1622,Sint Maarten,2011,27.5
1623,Somalia,1988,27.5
1624,Somalia,1999,27.5
1625,Somalia,2001,27.5
1626,Somalia,2002,27.5
1627,Sri Lanka,1941,27.5
1628,Sri Lanka,1990,27.5
1629,Sri Lanka,2000,27.5
1630,Sudan,1914,27.5
1631,Sudan,1919,27.5
1632,Sudan,1931,27.5
1633,Sudan,1933,27.5
1634,Sudan,1952,27.5
1635,Sudan,1960,27.5
1636,Sudan,1963,27.5
1637,Sudan,1991,27.5
1638,Sudan,1995,27.5
1639,Sudan,2000,27.5
1640,Suriname,2005,27.5
1641,Thailand,2013,27.5
1642,Togo,1990,27.5
1643,Togo,2002,27.5
1644,Togo,2004,27.5
1645,Trinidad And Tobago,2010,27.5
1646,Turks And Caicas Islands,1994,27.5
1647,Turks And Caicas Islands,2005,27.5
1648,United Arab Emirates,1893,27.5
1649,United Arab Emirates,1896,27.5
1650,United Arab Emirates,1905,27.5
1651,United Arab Emirates,1912,27.5
1652,United Arab Emirates,1913,27.5
1653,United Arab Emirates,1920,27.5
1654,United Arab Emirates,1923,27.5
1655,United Arab Emirates,1927,27.5
1656,United Arab Emirates,1928,27.5
1657,United Arab Emirates,1949,27.5
1658,United Arab Emirates,1968,27.5
1659,Virgin Islands,2007,27.5
1660,American Samoa,1998,27.4
1661,American Samoa,2005,27.4
1662,American Samoa,2007,27.4
1663,American Samoa,2010,27.4
1664,Anguilla,1987,27.4
1665,Anguilla,1997,27.4
1666,Anguilla,2001,27.4
1667,Anguilla,2004,27.4
1668,Antigua And Barbuda,1995,27.4
1669,Antigua And Barbuda,2002,27.4
1670,Antigua And Barbuda,2012,27.4
1671,Aruba,1886,27.4
1672,Aruba,1892,27.4
1673,Aruba,1898,27.4
1674,Aruba,1904,27.4
1675,Aruba,1921,27.4
1676,Bahrain,2001,27.4
1677,Bahrain,2003,27.4
1678,Barbados,2003,27.4
1679,Barbados,2007,27.4
1680,Barbados,2011,27.4
1681,Benin,1915,27.4
1682,Benin,1919,27.4
1683,Benin,1934,27.4
1684,Benin,1935,27.4
1685,Benin,1951,27.4
1686,Benin,1958,27.4
1687,Benin,1963,27.4
1688,Benin,1972,27.4
1689,Benin,1991,27.4
1690,"Bonaire, Saint Eustatius And Saba",1915,27.4
1691,"Bonaire, Saint Eustatius And Saba",1947,27.4
1692,"Bonaire, Saint Eustatius And Saba",1948,27.4
1693,"Bonaire, Saint Eustatius And Saba",1951,27.4
1694,"Bonaire, Saint Eustatius And Saba",1957,27.4
1695,"Bonaire, Saint Eustatius And Saba",1961,27.4
1696,"Bonaire, Saint Eustatius And Saba",1964,27.4
1697,"Bonaire, Saint Eustatius And Saba",1984,27.4
1698,"Bonaire, Saint Eustatius And Saba",1989,27.4
1699,"Bonaire, Saint Eustatius And Saba",2000,27.4
1700,British Virgin Islands,1998,27.4
1701,British Virgin Islands,2003,27.4
1702,British Virgin Islands,2005,27.4
1703,British Virgin Islands,2006,27.4
1704,British Virgin Islands,2012,27.4
1705,Burkina Faso,1896,27.4
1706,Burkina Faso,1903,27.4
1707,Burkina Faso,1909,27.4
1708,Cambodia,1966,27.4
1709,Cambodia,1987,27.4
1710,Cambodia,2005,27.4
1711,Cambodia,2006,27.4
1712,Cayman Islands,1948,27.4
1713,Cayman Islands,1982,27.4
1714,Cayman Islands,1990,27.4
1715,Cayman Islands,1991,27.4
1716,Cayman Islands,2008,27.4
1717,Cayman Islands,2011,27.4
1718,Chad,1901,27.4
1719,Chad,1926,27.4
1720,Chad,1938,27.4
1721,Chad,1939,27.4
1722,Chad,1940,27.4
1723,Chad,1947,27.4
1724,Chad,1972,27.4
1725,Chad,1985,27.4
1726,Chad,2000,27.4
1727,Curaçao,1889,27.4
1728,Curaçao,1900,27.4
1729,Curaçao,1902,27.4
1730,Curaçao,1903,27.4
1731,Curaçao,1928,27.4
1732,Curaçao,1934,27.4
1733,Curaçao,1943,27.4
1734,Curaçao,1957,27.4
1735,Curaçao,1965,27.4
1736,Curaçao,1975,27.4
1737,Eritrea,1980,27.4
1738,Eritrea,1990,27.4
1739,Eritrea,2001,27.4
1740,Federated States Of Micronesia,1981,27.4
1741,Federated States Of Micronesia,1987,27.4
1742,Federated States Of Micronesia,1995,27.4
