,Country,year,Average Temp in C
216,Aruba,2001,28.6
217,Burkina Faso,1937,28.6
218,Burkina Faso,1940,28.6
219,Burkina Faso,1944,28.6
220,Burkina Faso,1949,28.6
221,Burkina Faso,1984,28.6
222,Burkina Faso,1993,28.6
223,Burkina Faso,1997,28.6
224,Burkina Faso,2000,28.6
225,Burkina Faso,2012,28.6
226,Djibouti,1886,28.6
227,Djibouti,1889,28.6
228,Djibouti,1890,28.6
229,Djibouti,1891,28.6
230,Djibouti,1899,28.6
231,Djibouti,1904,28.6
232,Djibouti,1927,28.6
233,Djibouti,1928,28.6
234,Djibouti,1929,28.6
235,Djibouti,1930,28.6
236,Djibouti,1933,28.6
237,Djibouti,1938,28.6
238,Djibouti,1952,28.6
239,Djibouti,1955,28.6
240,Djibouti,1964,28.6
241,Djibouti,1967,28.6
242,Djibouti,1968,28.6
243,Djibouti,1971,28.6
244,Gambia,1983,28.6
245,Gambia,2002,28.6
246,Gambia,2005,28.6
247,Mali,1912,28.6
248,Mali,1914,28.6
249,Mali,1944,28.6
250,Mali,1955,28.6
251,Mali,1968,28.6
252,Mali,1972,28.6
253,Mali,1992,28.6
254,Mali,2012,28.6
255,Mauritania,1996,28.6
256,Mauritania,1997,28.6
257,Mauritania,2002,28.6
258,Mauritania,2003,28.6
259,Mauritania,2004,28.6
260,Mauritania,2011,28.6
261,Niger,2005,28.6
262,Qatar,1999,28.6
263,Senegal,1970,28.6
264,Senegal,1979,28.6
265,Senegal,1980,28.6
266,Senegal,1993,28.6
267,Senegal,1995,28.6
268,Senegal,2006,28.6
269,Senegal,2012,28.6
270,Sudan,2010,28.6
271,United Arab Emirates,1977,28.6
272,Aruba,1940,28.5
273,Aruba,1952,28.5
274,Aruba,1953,28.5
275,Aruba,1977,28.5
276,Aruba,1992,28.5
277,Aruba,1994,28.5
278,Aruba,1996,28.5
279,Aruba,2004,28.5
280,Aruba,2011,28.5
281,Burkina Faso,1926,28.5
282,Burkina Faso,1938,28.5
283,Burkina Faso,1942,28.5
284,Burkina Faso,1958,28.5
285,Burkina Faso,1970,28.5
286,Burkina Faso,1979,28.5
287,Burkina Faso,1991,28.5
288,Burkina Faso,1995,28.5
289,Burkina Faso,2008,28.5
290,Curaçao,2010,28.5
291,Djibouti,1896,28.5
292,Djibouti,1900,28.5
293,Djibouti,1901,28.5
294,Djibouti,1902,28.5
295,Djibouti,1905,28.5
296,Djibouti,1925,28.5
297,Djibouti,1936,28.5
298,Djibouti,1937,28.5
299,Djibouti,1974,28.5
300,Gambia,2001,28.5
301,Mali,1899,28.5
302,Mali,1915,28.5
303,Mali,1919,28.5
304,Mali,1922,28.5
305,Mali,1938,28.5
306,Mali,1945,28.5
307,Mali,1960,28.5
308,Mali,1971,28.5
309,Mali,1986,28.5
310,Mauritania,1990,28.5
311,Mauritania,2007,28.5
312,Niger,1941,28.5
313,Niger,1969,28.5
314,Niger,2011,28.5
315,Oman,2010,28.5
316,Qatar,2012,28.5
317,Senegal,1945,28.5
318,Senegal,1973,28.5
319,Senegal,1977,28.5
320,Senegal,1981,28.5
321,Senegal,1990,28.5
322,Senegal,1991,28.5
323,Senegal,1992,28.5
324,Senegal,2000,28.5
325,Senegal,2009,28.5
326,Aruba,1970,28.4
327,Aruba,1972,28.4
328,Aruba,1978,28.4
329,Aruba,1979,28.4
330,Aruba,1981,28.4
331,Aruba,1988,28.4
332,Aruba,1991,28.4
333,Aruba,2008,28.4
334,"Bonaire, Saint Eustatius And Saba",2010,28.4
335,Burkina Faso,1913,28.4
336,Burkina Faso,1914,28.4
337,Burkina Faso,1930,28.4
338,Burkina Faso,1932,28.4
339,Burkina Faso,1959,28.4
340,Burkina Faso,1963,28.4
341,Burkina Faso,1972,28.4
342,Burkina Faso,1978,28.4
343,Burkina Faso,1981,28.4
344,Burkina Faso,1985,28.4
345,Burkina Faso,1988,28.4
346,Burkina Faso,1999,28.4
347,Cambodia,2013,28.4
348,Curaçao,1987,28.4
349,Curaçao,1998,28.4
350,Djibouti,1893,28.4
351,Djibouti,1895,28.4
352,Djibouti,1906,28.4
353,Djibouti,1909,28.4
354,Djibouti,1921,28.4
355,Djibouti,1934,28.4
356,Djibouti,1950,28.4
357,Djibouti,1965,28.4
358,Gambia,1987,28.4
359,Gambia,2004,28.4
360,Gambia,2007,28.4
361,Gambia,2008,28.4
362,Mali,1897,28.4
363,Mali,1902,28.4
364,Mali,1910,28.4
365,Mali,1923,28.4
366,Mali,1929,28.4
367,Mali,1946,28.4
368,Mali,1956,28.4
369,Mali,1962,28.4
370,Mali,1964,28.4
371,Mali,1982,28.4
372,Mali,1994,28.4
373,Mauritania,1970,28.4
374,Mauritania,1979,28.4
375,Mauritania,2000,28.4
376,Mauritania,2006,28.4
377,Mauritania,2008,28.4
378,Mauritania,2009,28.4
379,Niger,2004,28.4
380,Niger,2007,28.4
381,Oman,2007,28.4
382,Qatar,1998,28.4
383,Senegal,1926,28.4
384,Senegal,1988,28.4
385,Sudan,2009,28.4
386,United Arab Emirates,1994,28.4
387,Aruba,1915,28.3
388,Aruba,1926,28.3
389,Aruba,1947,28.3
390,Aruba,1962,28.3
391,Aruba,1963,28.3
392,Aruba,1973,28.3
393,Benin,2010,28.3
394,"Bonaire, Saint Eustatius And Saba",1998,28.3
395,Burkina Faso,1919,28.3
396,Burkina Faso,1924,28.3
397,Burkina Faso,1925,28.3
398,Burkina Faso,1977,28.3
399,Burkina Faso,1986,28.3
400,Chad,2009,28.3
401,Curaçao,1958,28.3
402,Curaçao,2003,28.3
403,Curaçao,2006,28.3
404,Curaçao,2007,28.3
405,Curaçao,2009,28.3
406,Djibouti,1888,28.3
407,Djibouti,1892,28.3
408,Djibouti,1894,28.3
409,Djibouti,1903,28.3
410,Djibouti,1912,28.3
411,Djibouti,1923,28.3
412,Djibouti,1932,28.3
413,Djibouti,1956,28.3
414,Djibouti,1957,28.3
415,Gambia,1969,28.3
416,Gambia,1996,28.3
417,Gambia,1997,28.3
418,Gambia,2011,28.3
419,Gambia,2012,28.3
420,Mali,1895,28.3
421,Mali,1900,28.3
422,Mali,1920,28.3
423,Mali,1927,28.3
424,Mali,1928,28.3
425,Mali,1933,28.3
426,Mali,1935,28.3
427,Mali,1939,28.3
428,Mali,1948,28.3
429,Mali,1953,28.3
430,Mali,1961,28.3
431,Mauritania,1926,28.3
432,Mauritania,1981,28.3
433,Mauritania,1995,28.3
434,Niger,1942,28.3
435,Niger,1998,28.3
436,Niger,1999,28.3
437,Niger,2003,28.3
438,Niger,2006,28.3
439,Oman,2003,28.3
440,Oman,2009,28.3
441,Qatar,2001,28.3
442,Qatar,2003,28.3
443,Senegal,1897,28.3
444,Senegal,1944,28.3
445,Senegal,1958,28.3
446,Senegal,1984,28.3
447,Senegal,1985,28.3
448,Senegal,1989,28.3
449,Senegal,2013,28.3
450,United Arab Emirates,1969,28.3
451,United Arab Emirates,1970,28.3
452,United Arab Emirates,1980,28.3
453,United Arab Emirates,1996,28.3
454,Aruba,1931,28.2
455,Aruba,1948,28.2
456,Aruba,1951,28.2
457,Aruba,1959,28.2
458,Aruba,1960,28.2
459,Aruba,1966,28.2
460,Aruba,1982,28.2
461,Aruba,1984,28.2
462,Aruba,1990,28.2
463,Aruba,1999,28.2
464,Benin,1987,28.2
465,Benin,2005,28.2
466,Benin,2009,28.2
467,"Bonaire, Saint Eustatius And Saba",1987,28.2
468,"Bonaire, Saint Eustatius And Saba",2007,28.2
469,Burkina Faso,1912,28.2
470,Burkina Faso,1915,28.2
471,Burkina Faso,1922,28.2
472,Burkina Faso,1933,28.2
473,Burkina Faso,1935,28.2
474,Burkina Faso,1951,28.2
475,Burkina Faso,1966,28.2
476,Burkina Faso,1971,28.2
477,Burkina Faso,1989,28.2
478,Chad,2005,28.2
479,Curaçao,1995,28.2
480,Curaçao,2002,28.2
481,Curaçao,2005,28.2
482,Djibouti,1907,28.2
483,Djibouti,1908,28.2
484,Djibouti,1913,28.2
485,Gambia,1970,28.2
486,Gambia,1993,28.2
487,Gambia,1995,28.2
488,Gambia,2003,28.2
489,Gambia,2006,28.2
490,Kingman Reef,2005,28.2
491,Mali,1885,28.2
492,Mali,1921,28.2
493,Mali,1936,28.2
494,Mali,1957,28.2
495,Mali,1965,28.2
496,Mali,1967,28.2
497,Mali,1975,28.2
498,Mauritania,1937,28.2
499,Mauritania,1980,28.2
500,Mauritania,1989,28.2
501,Niger,1987,28.2
502,Niger,2002,28.2
503,Oman,1998,28.2
504,Oman,2011,28.2
505,Oman,2012,28.2
506,Palmyra Atoll,2003,28.2
507,Palmyra Atoll,2005,28.2
508,Qatar,2002,28.2
509,Qatar,2007,28.2
510,Qatar,2011,28.2
511,Senegal,1899,28.2
512,Senegal,1923,28.2
513,Senegal,1931,28.2
514,Senegal,1937,28.2
515,Senegal,1941,28.2
516,Senegal,1962,28.2
517,Senegal,1963,28.2
518,Senegal,1966,28.2
519,Senegal,1972,28.2
520,Senegal,1978,28.2
521,Senegal,1994,28.2
522,Sri Lanka,1998,28.2
523,United Arab Emirates,1990,28.2
524,Aruba,1932,28.1
525,Aruba,1954,28.1
526,Aruba,1961,28.1
527,Aruba,1964,28.1
528,Aruba,1968,28.1
529,Aruba,1989,28.1
